product_id,product_name,category_reclassified,rating,price_whole,per_count_price,mrp,number_of_global_ratings,number_of_reviews,sales_numeric,discount_percentage_cleaned,product_weight_grams,review_text_cleaned,sentiment
13,Haldirams Nagpur Mini Masala Bhakarwadi - 4 X 200 Grams,Spicy Snacks,4.2,204,25.5,260,6701,539,25,22,200,Fresh n crispy...but i feel there should not be any need of taking the shiping charges...as its been sold as a wholesale kindof...so its not economical.,positive
14,Haldirams Nagpur Mini Kaju Katli 250g with 2 Premium Rakhi,Sweets & Desserts,4,422,500,500,3082,174,100,16,1000,Very good,positive
15,"Haldirams Corn Flakes Mixture, 400g",Namkeen,4.3,149,37.25,152,8232,2235,100,2,1000,Testy & fine mixture,positive
16,"Haldirams Nagpur Anmol Bandhan Gift Box  Rakhi Combo with Phalhari Chiwda 200g, Chana Choor 200g  Premium Rakhi  Raksha Bandhan Special Sweets  Snacks Gift Pack",Gift Hampers,3.8,639,735,735,4880,2330,25,13,200,Overpriced. Not worth it.,negative
17,Haldirams Pav Bhaji 300g x 3  Heat and Eat  Pure Veg  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,3.9,249,83,330,1961,2674,50,25,500,The taste of pav bhaji is not good at all I am having fever after eating it. so be careful,negative
18,Haldirams Nagpur Khajur Dryfruit Burfee 500 Gram,Savory & Savory_Snacks,4.3,493,622,622,3426,4027,25,21,750,Loved the taste and freshness,positive
19,"Haldirams Nagpur Soan Papdi, 500 grams, Packet",Sweets & Desserts,4.1,134,26.8,135,8924,240,25,1,200,Nice,positive
20,Haldirams Patisa 400g x2  Traditional Indian Sweet  No added Colours or Preservatives  Indian Mithai  Crunchy Almonds  Pistachios  Patisa Sweet  Great Sweet Gift Pack for Family,Gift Hampers,4,431,53.88,718,8258,2909,50,40,750,Quite good and tasty,positive
21,Haldirams Patisa 400g x2  Traditional Indian Sweet  No added Colours or Preservatives  Indian Mithai  Crunchy Almonds  Pistachios  Patisa Sweet  Great Sweet Gift Pack for Family,Gift Hampers,4,431,53.88,431,3227,3680,50,40,1000,Quite good and tasty,positive
22,Haldirams Besan Ladoo 400 G X 2 Box - 800 Gm  Authentic Laddu Taste  Made with Premium Ingredients  Handcrafted Indian Traditional Sweets  Indian Mithai  Fresh Products  Sweets Gift Pack,Gift Hampers,3.8,813,101.63,1294,4933,2590,25,37,200,"Taste of the sweet is nice..If you want readymade sweet then you can buy it... smell is good, they use ghee.. which is good for health...",positive
23,"Haldirams Nagpur Ratlami Sev, 200g",Namkeen,4.3,50,25,50,8483,242,0,0,1000,Good quality,positive
24,"Haldirams Tea Time Khari Bakery Fan Crispy Puffs, 250g",Savory & Savory_Snacks,3.6,150,60,150,2133,1800,25,0,500,Loved the taste and freshness,positive
25,"Haldirams Nagpur Papad Combo  Moong, Udad and Punjabi 200g Each  Bikaneri 400g  1kg",Gift Hampers,0,263,87.67,287,8964,4616,25,8,1000,Loved the taste and freshness,positive
26,Flavourful Delight Assorted Kaju Katli  500g Premium Gift Box  Mixed Flavours  Indian Traditional Mithai  Festive Sweet Gift Pack,Gift Hampers,0,510,102,630,2796,1060,25,19,750,Good product,positive
27,"Haldirams Nagpur Lite Chiwda, 60g",Savory & Savory_Snacks,4.5,99,165,165,4997,4320,25,0,200,Loved the taste and freshness,positive
28,Haldirams Nagpur Kaju Katli 500Gm With Rakhi Combo,Gift Hampers,3.9,590,700,700,3399,1143,100,16,1000,As described,neutral
29,Haldirams Patisa 400g x2  Traditional Indian Sweet  No added Colours or Preservatives  Indian Mithai  Crunchy Almonds  Pistachios  Patisa Sweet  Great Sweet Gift Pack for Family,Gift Hampers,4,431,718,718,9098,4066,25,40,500,Quite good and tasty,positive
30,Haldirams Nagpur Rajasthani Peda 500gm,Sweets & Desserts,4.5,325,65,354,8556,2557,25,8,200,Good,positive
31,Haldirams Mutter Paneer 300g x 2 Minute Khana Mutter Paneer Quick Meals Delicious Instant Food Slow Cooked Heat Easy to Prepare Meals Mic,Ready-to-Eat,4,264,330,330,547,4998,25,20,500,Loved the taste and freshness,positive
32,Haldirams Nagpur Milk Cake 250g  Traditional Indian Sweet  Soft  Creamy Milk-based Mithai  Made with Pure Milk  Sugar  Ideal for Gifting  Festivals,Sweets & Desserts,0,181,72.4,200,4368,3525,25,10,1000,N./A,neutral
33,"Haldirams Nagpur Lemon Squash Pack Of 2 750Ml, Liquid",Combo Packs,4.1,321,10.7,350,5483,4305,25,8,200,Quality product with good taste,positive
34,Haldirams Besan Ladoo 400g  Authentic Laddu Taste  Made with Premium Ingredients  Handcrafted Indian Traditional Sweets  Indian Mithai  Fresh Products  Sweets Gift Pack for Festival,Gift Hampers,4.1,405,202.5,647,3346,4010,50,37,500,Loved the taste and freshness,positive
35,Haldirams Ghewar Combo Pack 670 Gm  Rabri  Kesar Ghewar  Indian Mithai  Premium Handcrafted Traditional Sweets  Mithai For Raksha Bandhan  Great Sweets Gift Pack For Festival,Gift Hampers,3.1,620,310,620,6899,4309,0,0,200,"Don't buy it. Very bad.instead of delivery proper sweet gives us seperate seperate packets.sugar syrup,two more packets.dont know what to do with that.",positive
36,"Haldirams Heaven Ajwain Cookies, 150g",Baked Snacks,4,60,40,70,2073,894,25,14,1000,Good taste,positive
37,"Haldirams Rasgulla, 500g",Sweets & Desserts,4.4,125,25,125,6187,3991,0,0,500,This item was of expiry date so not tasted,neutral
38,Haldirams Nagpur Mathura Peda 250g  Kesar Peda 250g with 2 Rakhis  Rakhi Sweet Gift Combo for Bhaiya and Bhabhi,Gift Hampers,0,401,522,522,8353,2849,25,23,500,Packaging was neat and product was very tasty,positive
39,"Haldirams Besan Ladoo, 500 g and Lite Chiwda, 200 g",Sweets & Desserts,3.2,423,423,510,9473,3667,25,17,1000,🤤👌👍,neutral
40,"Haldirams Nagpur Chana Choor, 150g",Roasted Snacks,4,98,65.33,99,1677,4068,25,1,1000,"Product was as expected. Crushed channa with lots of spices. Spicy food, tangy and hot.",positive
41,Haldirams Pav Bhaji 300g x 3  Heat and Eat  Pure Veg  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,3.9,249,83,330,7860,586,50,25,750,The taste of pav bhaji is not good at all I am having fever after eating it. so be careful,negative
42,Haldirams Chocolate Aam Papad Burfi 400g  Premium Handcrafted Indian Mithai  Premium Ingredients  Fresh Indian Traditional Mithai  Sweet  Tangy Flavour  Festive Sweet Gift Box All Occasion,Gift Hampers,4,359,430,430,6878,3817,50,17,1000,Loved the taste and freshness,positive
43,Haldirams Pav Bhaji 300g x 3  Heat and Eat  Pure Veg  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,3.9,249,83,330,6322,4608,50,25,750,The taste of pav bhaji is not good at all I am having fever after eating it. so be careful,negative
44,Haldirams Nagpur Orange Burfee 500 grams,Savory & Savory_Snacks,4.1,308,363,363,90,1525,0,15,1000,Delicious,positive
45,Haldirams Nagpur Cookie Heaven Kaju Pista Cookies 200g Pack Of 2  Traditional Indian Sweet  200g Pack,Combo Packs,4,198,49.5,220,3767,811,25,10,500,Loved the taste and freshness,positive
46,"Haldirams Nagpur Bhel Puri, 300g",Spicy Snacks,4.4,148,49.33,149,7254,1803,25,1,500,It is tasty and fresh too. The chutneys that go along wit it are also good,positive
47,Haldiram Ready To Eat Dal Palak 300g X 3 Pcs,Ready-to-Eat,4.1,178,19.78,255,2277,1209,25,30,750,"It is a good quality, taste-wise mixed dal type item, mildly spiced and matches a freshly prepared food item",positive
48,"Haldirams Anjeer Dry Fruit Burfi 400g  Indian Mithai  Anjeer Barfi  Premium Handcrafted Traditional Sweets  No Artificial Colours, Flavours and Preservatives  Indian Sweets Gift Pack  Pack of 1",Gift Hampers,5,949,237.25,949,5652,2766,25,0,750,Loved the taste and freshness,positive
49,Haldirams Nagpur Caramel Peda 250g Tin with 1 Designer Rakhi  Premium Indian Mithai Gift Box  Raksha Bandhan Sweet Combo for Brother  Gourmet Caramel Milk Peda in Festive Tin Pack,Gift Hampers,0,372,148.8,485,1840,1925,25,23,500,Packaging was neat and product was very tasty,positive
50,Haldirams Nagpur Milk Cake 500 g with 2 Rakhi,Savory & Savory_Snacks,4.6,502,600,600,3284,767,25,16,500,Loved the taste and freshness,positive
51,"More Combo - Haldirams Namkeen Nut Cracker, 200g Pack of 2 Promo Pack",Gift Hampers,5,108,27,108,3672,1222,25,0,500,Loved the taste and freshness,positive
52,Haldirams Nagpur Kaju Katli 500gm  Orange Burfee 500 Combo,Gift Hampers,3.8,806,963,963,4186,4452,25,16,750,Testy and good,positive
53,Haldirams Nagpur Cookie Heaven Badam Pista Cookies pack of 2  Traditional Indian Sweet  200g Pack,Combo Packs,4,200,100,220,2120,2782,25,9,750,Loved the taste and freshness,positive
54,Haldirams Nagpur Boondi Ladoo 500 gm,Sweets & Desserts,4,300,60,320,8585,3321,50,6,1000,bought these to be delivered to my cousin in Chennai..glad amazon has these,neutral
55,"Haldirams Delhi Moong Dal, 200 Gram",Ready-to-Eat,4.4,60,300,60,5134,4541,25,0,200,Tasty namkeen,neutral
56,Haldirams Nagpur Kaju Katli 500g with 2 Rakhis  Rakhi Sweet Gift Combo for Bhaiya and Bhabhi,Gift Hampers,0,619,750,750,9747,1013,100,17,750,Packaging was neat and product was very tasty,positive
57,Haldirams Kaju Katli 200g  Traditional Indian Sweet  Indian Mithai  Kaju Barfi  No Added Colours  Premium Handcrafted Traditional Sweets  Made with Finest Cashews  Fresh Product  Gift Pack for Festival,Gift Hampers,0,279,279,500,3297,2723,25,44,200,Packaging was neat and product was very tasty,positive
58,Haldirams Nagpur Khajur Dry Fruit 250g with Premium Rakhi,Savory & Savory_Snacks,3.6,334,411,411,3347,1690,25,19,500,Like butMistakenly gave one star to delivery,neutral
59,Haldirams Chana Dry Fruit Ladoo Combo Pack 400 grams x 2  Fresh Indian Traditional Mithai  No Added Colours or Preservatives  Indian Sweets  Pure Desi Ghee  Festive Sweet Gift Box,Gift Hampers,4,589,73.63,946,7947,1075,25,38,750,Loved the taste and freshness,positive
60,Haldirams Soan Papdi 1Kg  Traditional Indian Sweet  Finest Ingredients  Crunchy Almonds  Pistachios  Indian Mithai  Festive Delight  Great Gift Pack for Festival,Gift Hampers,4.2,413,41.36,420,6245,3477,25,2,750,"This Soan Papdi is very tasty. It is made up of desi ghee and it is better than Nagpur Haldiram Soan Papdi brand. Please buy it once, to know the goodness of Haldiram Delhi Soan Papdi. If you are worried that the product might be expired, then you are wrong. Amazon India always give you fresh and up to date products.",positive
61,Haldirams Kesar Gujia 400g  Gujiya Sweets  Indian Mithai  Fresh Indian Traditional Mithai  Fresh Products  Royal Saffron Flavor  Festive Sweet Gift Box  Mithai for All Occasion,Gift Hampers,4.2,545,736,736,1750,4868,25,26,200,Very nice,positive
62,Haldiram Ready To Eat Dal Palak 300g X 3 Pcs,Ready-to-Eat,4.1,178,19.78,255,9412,636,25,30,200,"It is a good quality, taste-wise mixed dal type item, mildly spiced and matches a freshly prepared food item",positive
63,Haldirams Motichoor Ladoo 200 gram x 2  Laddu Sweets  Great Sweets Gift Pack  Premium Handcrafted Indian Mithai  Motichoor Bundi Ladu  Indian Sweets  Fresh Boondi Laddoos Pack of 2,Gift Hampers,3.8,501,820,820,8749,1893,25,39,500,"Taste of the sweet is nice..If you want readymade sweet then you can buy it... smell is good, they use ghee.. which is good for health...",positive
64,"Haldirams Nagpur Navratan Mixture, 200g",Namkeen,4.2,60,30,60,1806,387,25,0,200,Very good to taste and very fresh,positive
65,Haldirams Nagpur Orange Burfee 500g,Savory & Savory_Snacks,4.2,300,363,363,7589,2441,100,17,500,"We were craving orange burfi which is found only in Nagpur, and this was just the perfect. Unless we can buy it from any nagpur halwai and ship it to our city somehow, this is just a good alternative to eat the nagpuri santra burfi.",positive
66,"Haldirams Delhi Bhujia, 200g",Namkeen,4.5,60,30,60,4742,78,0,0,1000,"Delivery time is good but some namkeen is expired date and some namkeen is expired date nearly,i hope you send the mail you binder",positive
67,"Haldirams Diet Mixture, 250g",Namkeen,5,99,39.6,109,7846,4107,25,9,200,Loved the taste and freshness,positive
68,"Haldirams Ready to Eat Choley, Pulao, Dal Makhani X 2 Pcs Each 300 g",Ready-to-Eat,4,390,390,530,5001,3883,25,26,1000,Just ok in taste. Pulao not good,positive
69,"Haldirams Nagpur Pancharatan Mixture, 150g  200g Weight May Vary",Namkeen,4.4,77,51.33,90,1490,2646,0,14,750,its worth buying as it has a lot of dry fruits which are roasted hence healthy the packaging makes sure it stays fresh & tasty too quality is good can use it as a gifting option,positive
70,Haldirams Nagpur Gulkand Dryfruit Burfee 250g Tin with 1 Designer Rakhi  Premium Indian Mithai Gift Box  Raksha Bandhan Special Sweet Combo for Brother  Rose  Dry Fruit Burfi in Elegant Tin,Gift Hampers,0,429,171.6,550,4318,3695,25,22,750,Packaging was neat and product was very tasty,positive
71,Ready To Eat Haldiram Hyderabadi Biryani 200 g X 4 Pcs,Ready-to-Eat,3.2,254,317.5,320,8983,2412,25,21,200,"Biryani is very spicy, have a good taste when you microvave it, heating in boiling water will not give you that taste which you will get in microwave.",positive
72,"Haldirams Mithas Ladoo - Dry Fruit Panjeeri Box,400 Gram,Indian Sweets Diwali Gift Pack,Almond",Gift Hampers,3.7,231,57.75,350,5511,1071,0,34,1000,"Haldiram's brand always at its best..I ordered panjiri dry fruit ladoo and besan dry fruit ladoo..So. Fresh, tasty.... our family loved it",positive
73,Haldirams Nagpur Bhujia Jar Combo  5 Varieties of Spicy  Crunchy Namkeen  Authentic Indian Snacks,Gift Hampers,5,370,74,435,2886,4401,25,15,200,Loved the taste and freshness,positive
74,Haldirams Besan Ladoo 400g  Authentic Laddu Taste  Made with Premium Ingredients  Handcrafted Indian Traditional Sweets  Indian Mithai  Fresh Products  Sweets Gift Pack for Festival,Gift Hampers,3.8,409,102.25,479,2532,1782,25,15,1000,Happy with the product,positive
75,Haldirams Nagpur Roasted Chana Ladoo 250g  Healthy Protein-Rich Sweet  Traditional Indian Mithai  Guilt-Free Energy Snack,Sweets & Desserts,0,147,0.59,165,8274,1816,25,11,200,Packaging was neat and product was very tasty,positive
76,Haldirams Barfi Kaju 400 g Box  Kaju Katli Made with Finest Cashews  Kaju Barfi  Indian Mithai  No Added Colours  Premium Handcrafted Traditional Sweets  Great Sweets Gift Pack for Festival,Gift Hampers,3.2,625,625,850,7210,2143,25,26,750,Loved the taste and freshness,positive
77,Haldirams Nagpur Ready To Eat Dal Makhani 300g Pack of 4 Combo,Gift Hampers,4.4,383,95.75,520,9938,4698,25,26,200,"Good quality and consistency, awesome taste",positive
78,Haldirams Nagpur Cookie Heaven Ajwain Cookies 150g Pack Of 5  Traditional Indian Sweet  150g Pack,Combo Packs,0,276,36.8,300,7391,3205,25,8,200,Packaging was neat and product was very tasty,positive
79,Haldirams Coconut Dry Fruit Ladoo 400g  Premium Handcrafted Indian Mithai  Nariyal ke Laddu  Indian Sweets  Fresh Indian Traditional Mithai  Dry Fruit Ladoo  Indian Mithai  Sweet Gift for festival,Gift Hampers,4.1,524,131,707,5931,4416,25,26,500,"Nice product with very good Quality & Good Test, good value for money.",positive
80,Haldiram Soan Halwa 500 g X 1 Box,Gift Hampers,4.1,475,95,475,9313,4503,100,0,500,So tasty sohan halua. I love it smell and melting in mouth immediately. Value for money,positive
81,Flavourful Fusions Kaju Sweet 500g  Premium Indian Mithai Made with Cashews  Ideal for Gifting  Festive Celebrations,Sweets & Desserts,0,527,527,625,3720,4849,25,16,1000,Packaging was neat and product was very tasty,positive
82,Haldirams Nagpur Lite Chiwda Pack of 4 X 200 g,Combo Packs,4.1,180,45,180,1702,3090,25,0,750,Tasty and light.Reasonable price,neutral
83,Haldirams Nagpur Moong Burfee 500gm,Savory & Savory_Snacks,3.7,333,66.6,401,3428,2451,25,17,750,Loved the taste and freshness,positive
84,Haldirams Nagpur Dodha Burfi Rakhi Gift Box  350g  Includes 2 Rakhis for Bhaiya  Bhabhi  Rich Punjabi Fudge Mithai  Traditional Ghee Sweet,Gift Hampers,0,387,387,410,5802,4774,25,6,200,Loved the taste and freshness,positive
85,"Haldirams Nagpur Punjabi Tadka, 200g",Savory & Savory_Snacks,4.2,55,27.5,55,1772,4190,0,0,750,Mouth watering taste,neutral
86,Haldirams Nagpur Kaju Soan Cake 250gm,Savory & Savory_Snacks,0,303,320,320,9745,148,25,5,750,Packaging was neat and product was very tasty,positive
87,"Haldirams Nagpur Mini Samosa, 200g",Ready-to-Eat,3.8,65,26,65,9257,2643,0,0,200,Nice Samosas,positive
88,Haldirams Pav Bhaji 300g x 3  Heat and Eat  Pure Veg  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,3.9,249,83,330,8352,3251,50,25,750,Loved the taste and freshness,positive
89,Haldirams Motichoor Ladoo 200 gram  Laddu Sweets  Great Sweets Gift Pack  Premium Handcrafted Indian Mithai  Motichoor Bundi Ladu  Indian Sweets  Fresh Boondi Laddoos,Gift Hampers,3.8,304,152,410,955,3301,50,26,1000,"Taste of the sweet is nice..If you want readymade sweet then you can buy it... smell is good, they use ghee.. which is good for health...",positive
90,"Haldirams Nagpur Badam Halwa Pack Of 6, 12 Kg",Combo Packs,3.8,276,23,300,7417,913,25,8,1000,"The sweets are individually wrapped and good for distributing. The taste is good and I like that there is no ghee in it, good for vegans. The only problem I see is that even though sweets are individually wrapped, these packs are sticky like they came in contact with oil, it must be poor packaging in their assembly line. I noticed this in every pack.",positive
91,Haldirams Bhujia 1kg  All Time Favourite  Perfect Tea-Time  Ready to Eat  Crispy  Light Snacks  Spicy Tadka  Indian Namkeen  Snacks  Savouries,Ready-to-Eat,4.2,260,26,260,3832,3145,25,0,500,Test is very good,positive
92,Haldirams Nagpur Soan Papdi 1 kg with 2 Premium Rakhis,Sweets & Desserts,4,360,460,460,754,4668,25,22,200,Nice product and packaging.,positive
93,"Haldirams Nagpur Chatpata Dal, 400 g 200 g x Pack of 2",Ready-to-Eat,4.1,296,740,300,1146,1025,25,1,200,Bit overpriced.Quality and taste is best.Salt content is moderate.,neutral
94,Haldirams Nagpur Ready To Eat Mutter Paneer 300g Pack of 4 Combo,Gift Hampers,0,395,395,540,6126,3047,25,27,750,Packaging was neat and product was very tasty,positive
95,"Haldirams Nagpur Sugar Free Boondi Laddu 250 Gm, Sugar Free Moong Burfee 250 Gm",Health & Wellness,4,334,410,410,1154,4806,50,0,750,Yummy taste but very expensive,negative
96,"Haldirams Ready to Eat Choley, Pulao, Dal Makhani X 2 Pcs Each 300 g",Ready-to-Eat,4,390,390,530,3547,1970,25,26,200,Just ok in taste. Pulao not good,positive
97,Haldirams Pav Bhaji 300g x 3  Heat and Eat  Pure Veg  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,3.9,249,83,330,7081,1854,50,25,500,The taste of pav bhaji is not good at all I am having fever after eating it. so be careful,negative
98,Haldirams Soan Papdi 500g  Traditional Indian Sweet  Finest Ingredients  Crunchy Almonds  Pistachios  Indian Mithai  Festive Delight  Great Gift Pack for Festival  Mithai for Raksha Bandhan,Gift Hampers,4.3,153,30.6,215,7133,4926,0,29,1000,Why did you pick this product vs others?:Little excessive sugar but taste is wow,negative
99,"Haldirams Haldirams Namkeen - Moong Dal, 400 gram",Ready-to-Eat,4.3,114,285,115,2974,3482,25,1,500,Daal is crispy and very good quality. Only price is little bit high.,positive
100,"Haldirams Nagpur Tasty Whole Nuts, 400g",Savory & Savory_Snacks,4.4,105,26.25,105,7139,1821,0,0,750,Excellent quality and taste.,positive
101,Haldiram Ready To Eat Dal Palak 300g X 3 Pcs,Ready-to-Eat,4.1,178,19.78,255,2313,987,25,30,750,"It is a good quality, taste-wise mixed dal type item, mildly spiced and matches a freshly prepared food item",positive
102,Haldirams Chana Dry Fruit Burfi 500g  Indian Sweets Diwali Gift Pack  Fresh Product  Made in Desi Ghee,Gift Hampers,4.2,410,102.5,649,6407,3380,50,37,1000,Fresh. Tastes good,positive
103,"Haldirams Nagpur Mini Bhakarwadi,200g,spicy,200 gram",Spicy Snacks,4.4,65,26,65,4179,475,0,0,750,Fantastic choice !!!to make your evenings even more interesting & mouth watering snack.,positive
104,"Haldirams Nagpur Chai Ke Saath Grand Namkeen Combo  10 x 200g  Masala Tit Bit, Karela Sticks, Trikona Khasta  More  Desi Indian Tea-Time Snacks for Chai, Gifting  Munching  2kg Total",Gift Hampers,1,495,24.75,650,1460,3410,25,24,750,Loved the taste and freshness,positive
105,"Haldirams Nagpur Lemon Squash 750 Ml And Orange Squash 750 Ml, Liquid",Savory & Savory_Snacks,4.3,300,20,350,6724,2622,25,14,750,"Very good in taste, doesn’t require any extra sugar to be added and tastes great. Very refreshing on a hot summer day when taken chilled.",positive
106,"Haldirams Nagpur SOYA Chips, 150 g",Namkeen,4.4,45,30,45,8732,4221,25,0,200,Super very tasty 😋,positive
107,Haldirams Patisa 400g x2  Traditional Indian Sweet  No added Colours or Preservatives  Indian Mithai  Crunchy Almonds  Pistachios  Patisa Sweet  Great Sweet Gift Pack for Family,Gift Hampers,4,431,53.88,718,5968,2759,50,40,200,Quite good and tasty,positive
108,"Haldirams Nagpur Fatafat Bhel, 65 g",Spicy Snacks,4.3,98,150.77,99,4552,4115,25,1,1000,Good,positive
109,"Haldirams Nagpur Blueberry Delight125G, Cranberry Delight125G, Strawberry Delight125G Combo Pack, 125 Gram",Gift Hampers,4.2,435,534,534,4181,4534,25,19,750,The media could not be loaded.I would like to thank Amazon for delivering such Delicious and Authentic Sweets directly to my home because of it I made my Diwali festival Celebration very very happily,positive
110,"Haldirams Delhi Khatta Meetha Mixture  Namkeen  Indian Snacks  Crunchy, Tasty and Colourful  Sweet and Sour in Taste  In- between Meals  Evening Snacks  1Kg  50g",Sweets & Desserts,4.2,220,20,240,5530,4454,50,8,500,Nice profuct manufactured in dec 2024Got it for 153 only MRP 250,positive
111,"Haldirams Nagpur Moong Dal, 1Kg",Ready-to-Eat,4.3,280,280,280,1173,1088,25,0,500,"The product and quality is best always because it's haldirams, but the seller deliver it in a very good condition",positive
112,"Haldirams Navrattan, 105 Kg",Savory & Savory_Snacks,4.3,245,20.42,245,2427,1897,25,0,1000,Good taste as always,positive
113,Haldirams Salted Peanuts Namkeen 3 x 200 g,Namkeen,2.8,150,25,150,5884,3262,25,0,500,Never ever buy this! All three packs received in stale condition!,negative
114,Ready To Eat Haldiram Hyderabadi Biryani 200 g X 4 Pcs,Ready-to-Eat,3.2,254,317.5,320,4076,1581,25,21,500,"Biryani is very spicy, have a good taste when you microvave it, heating in boiling water will not give you that taste which you will get in microwave.",positive
115,"Haldirams Nagpur Chai Ke Saath Indian Namkeen Combo  5 x 200g  Methi Puri, Chai Puri, Karela Sticks, Masala Sticks  Jeera Puri  Spicy Tea-Time Snacks for Gifting  Sharing  1kg Total",Gift Hampers,0,299,29.9,325,5036,1761,25,8,500,Packaging was neat and product was very tasty,positive
116,Haldirams Nagpur Kaju Katli 500 g and Orange Burfee 500 grms Combo With Premium Rakhi,Gift Hampers,1,901,"1,063",1063,6520,4966,25,15,500,Loved the taste and freshness,positive
117,Haldirams Kadhi Pakoda 300g x 3  Minute Khana Kadhi Pakoda 300 Gm  Quick Meals  Delicious Instant Food  Ready to Eat  Easy-to-Prepare Meals  Microwaveable  Ready to Cook Food,Ready-to-Eat,4.7,192,21.33,255,2901,4127,100,25,750,Loved the taste and freshness,positive
118,Haldirams Nagpur Haldirams Khatta Meetha 350 g50 g EXTRA400 G,Savory & Savory_Snacks,4.2,110,31.43,110,6669,1766,0,0,750,This product of haldiram khatta meetha flavour is very tasty.I got it damn cheap so bought two. Most of the jaldi ram products are best in quality and taste. But one should check the expiry date once you receive any product.,positive
119,Haldirams Nagpur Kaju Roll 500 Gram Pack of 1,Combo Packs,4,498,620,620,9627,4720,0,20,1000,Best quality and fresh product,positive
120,"Haldirams Nagpur Mango Burfee Pack of 2, 500 grams",Combo Packs,3.8,285,57,360,6669,1085,50,21,1000,Loved the taste and freshness,positive
121,Haldirams Desi Ghee 500 ml Pack Of 2,Combo Packs,5,650,650,690,1935,3434,25,6,500,Loved the taste and freshness,positive
122,Haldirams Nagpur Soan Papdi - Pack of 2-1kg2,Combo Packs,4.1,370,18.5,520,849,802,100,29,200,Loved the taste and freshness,positive
123,Haldirams Kaju Katli 200 Gm X 1 Box  Kaju Katli Made with Finest Cashews  Kaju Barfi  Indian Mithai  No Added Colours  Premium Handcrafted Traditional Sweets  Great Gift Pack,Gift Hampers,4.2,299,500,500,6242,4452,0,40,1000,Loved the taste and freshness,positive
124,Haldirams Nagpur Haldirams Nagpur All Flavor Soan Papdi 250g -Pack of 5 Box With Premium Rakhi,Gift Hampers,5,409,535,535,5319,2757,25,24,200,Loved the taste and freshness,positive
